SearchName,DatFile,JobID,NumberOfSpectra,NumberOfSpectraOver25,Over25inPercent,Comment
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258228.dat,258228,27583,16715,60.6,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258229.dat,258229,34335,11314,32.95,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258230.dat,258230,34751,10523,30.28,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258231.dat,258231,34433,10984,31.9,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258232.dat,258232,34467,9945,28.85,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258233.dat,258233,27583,16141,58.52,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258235.dat,258235,34335,10667,31.07,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258237.dat,258237,34751,9914,28.53,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258238.dat,258238,34433,10353,30.07,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258239.dat,258239,34467,9299,26.98,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258242.dat,258242,27583,15804,57.3,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258244.dat,258244,34335,10374,30.21,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258245.dat,258245,34751,9609,27.65,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258246.dat,258246,34433,10059,29.21,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258247.dat,258247,34467,9016,26.16,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258248.dat,258248,27583,16717,60.61,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258249.dat,258249,34335,11314,32.95,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258250.dat,258250,34751,10523,30.28,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258251.dat,258251,27583,15806,57.3,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258252.dat,258252,34335,10375,30.22,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258253.dat,258253,34751,9608,27.65,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258254.dat,258254,34433,10060,29.22,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258255.dat,258255,34467,9019,26.17,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258256.dat,258256,27583,15678,56.84,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258257.dat,258257,34335,10148,29.56,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258258.dat,258258,34751,9385,27.01,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258259.dat,258259,34433,9874,28.68,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258260.dat,258260,34467,8814,25.57,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258261.dat,258261,27583,16878,61.19,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258262.dat,258262,34335,11515,33.54,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258263.dat,258263,34751,10705,30.8,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258264.dat,258264,34433,11183,32.48,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258265.dat,258265,34467,10117,29.35,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/HeLa/20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-deisotoped,F258272.dat,258272,27583,16897,61.26,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258273.dat,258273,34335,11514,33.53,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-deisotoped,F258274.dat,258274,34751,10720,30.85,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258275.dat,258275,34433,11201,32.53,Better than PD
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258276.dat,258276,34467,10130,29.39,Better than PD
